STATE,COUNTY,HOG2022FAC,HOG2022NUM
Colorado,Boulder,-,-
Colorado,Broomfield,-,-
Colorado,Chaffee,-,-
Colorado,Cheyenne,-,-
Colorado,ClearCreek,-,-
Colorado,Conejos,-,-
Colorado,Costilla,-,-
Colorado,Crowley,-,-
Colorado,Custer,-,-
Colorado,Delta,-,-
Colorado,Denver,-,-
Colorado,Dolores,-,-
Colorado,Douglas,-,-
Colorado,Eagle,-,-
Colorado,Elbert,-,-
Colorado,ElPaso,-,-
Colorado,Fremont,-,-
Colorado,Garfield,-,-
Colorado,Gilpin,-,-
Colorado,Grand,-,-
Colorado,Gunnison,-,-
Colorado,Hinsdale,-,-
Colorado,Huerfano,-,-
Colorado,Jackson,-,-
Colorado,Jefferson,-,-
Colorado,Kiowa,1,(D)
Colorado,KitCarson,1,(D)
Colorado,Lake,-,-
Colorado,LaPlata,-,-
Colorado,Larimer,-,-
Colorado,LasAnimas,-,-
Colorado,Lincoln,-,-
Colorado,Logan,1,(D)
Colorado,Mesa,-,-
Colorado,Mineral,-,-
Colorado,Moffat,-,-
Colorado,Montezuma,-,-
Colorado,Montrose,-,-
Colorado,Morgan,-,-
Colorado,Otero,-,-
Colorado,Ouray,-,-
Colorado,Park,-,-
Colorado,Phillips,1,(D)
Colorado,Pitkin,-,-
Colorado,Prowers,2,(D)
Colorado,Pueblo,-,-
Colorado,RioBlanco,-,-
Colorado,RioGrande,-,-
Colorado,Routt,-,-
Colorado,Saguache,-,-
Colorado,SanJuan,-,-
Colorado,SanMiguel,-,-
Colorado,Sedgwick,1,(D)
Colorado,Summit,-,-
Colorado,Teller,-,-
Colorado,Washington,1,(D)
Colorado,Weld,-,-
Colorado,Yuma,2,(D)
Connecticut,Connecticut,-,-
Connecticut,Fairfield,-,-
Connecticut,Hartford,-,-
Connecticut,Litchfield,-,-
Connecticut,Middlesex,-,-
Connecticut,NewHaven,-,-
Connecticut,NewLondon,-,-
Connecticut,Tolland,-,-
Connecticut,Windham,-,-
Delaware,Delaware,-,-
Delaware,Kent,-,-
Delaware,NewCastle,-,-
Delaware,Sussex,-,-
Florida,Florida,-,-
Florida,Alachua,-,-
Florida,Baker,-,-
Florida,Bay,-,-
Florida,Bradford,-,-
Florida,Brevard,-,-
Florida,Broward,-,-
Florida,Calhoun,-,-
Florida,Charlotte,-,-
Florida,Citrus,-,-
Florida,Clay,-,-
Florida,Collier,-,-
Florida,Columbia,-,-
Florida,DeSoto,-,-
Florida,Dixie,-,-
Florida,Duval,-,-
Florida,Escambia,-,-
Florida,Flagler,-,-
Florida,Franklin,-,-
Florida,Gadsden,-,-
Florida,Gilchrist,-,-
Florida,Glades,-,-
Florida,Gulf,-,-
Florida,Hamilton,-,-
Florida,Hardee,-,-
Florida,Hendry,-,-
Florida,Hernando,-,-
Florida,Highlands,-,-
Florida,Hillsborough,-,-
Florida,Holmes,-,-
Florida,IndianRiver,-,-
Florida,Jackson,-,-
Florida,Jefferson,-,-
Florida,Lafayette,-,-
Florida,Lake,-,-
Florida,Lee,-,-
Florida,Leon,-,-
Florida,Levy,-,-
Florida,Liberty,-,-
Florida,Madison,-,-
Florida,Manatee,-,-
Florida,Marion,-,-
Florida,Martin,-,-
Florida,Miami-Dade,-,-
Florida,Monroe,-,-
Florida,Nassau,-,-
Florida,Okaloosa,-,-
Florida,Okeechobee,-,-
Florida,Orange,-,-
Florida,Osceola,-,-
Florida,PalmBeach,-,-
Florida,Pasco,-,-
Florida,Pinellas,-,-
Florida,Polk,-,-
Florida,Putnam,-,-
Florida,St.Johns,-,-
Florida,St.Lucie,-,-
Florida,SantaRosa,-,-
Florida,Sarasota,-,-
Florida,Seminole,-,-
Florida,Sumter,-,-
Florida,Suwannee,-,-
Florida,Taylor,-,-
Florida,Union,-,-
Florida,Volusia,-,-
Florida,Wakulla,-,-
Florida,Walton,-,-
Florida,Washington,-,-
Georgia,Georgia,11,"29,522"
Georgia,Appling,-,-
Georgia,Atkinson,-,-
Georgia,Bacon,-,-
Georgia,Baker,-,-
Georgia,Baldwin,-,-
Georgia,Banks,-,-
Georgia,Barrow,-,-
Georgia,Bartow,-,-
Georgia,BenHill,-,-
Georgia,Berrien,1,(D)
Georgia,Bibb,-,-
Georgia,Bleckley,-,-
Georgia,Brantley,-,-
Georgia,Brooks,1,(D)
Georgia,Bryan,-,-
Georgia,Bulloch,-,-
Georgia,Burke,-,-
Georgia,Butts,-,-
Georgia,Calhoun,-,-
Georgia,Camden,-,-
Georgia,Candler,2,(D)
Georgia,Carroll,-,-
Georgia,Catoosa,-,-
Georgia,Charlton,-,-
Georgia,Chatham,-,-
Georgia,Chattahoochee,-,-
Georgia,Chattooga,-,-
Georgia,Cherokee,-,-
Georgia,Clarke,-,-
Georgia,Clay,1,(D)
Georgia,Clayton,-,-
Georgia,Clinch,-,-
Georgia,Cobb,-,-
Georgia,Coffee,2,(D)
Georgia,Colquitt,-,-
Georgia,Columbia,-,-
Georgia,Cook,-,-
Georgia,Coweta,-,-
Georgia,Crawford,-,-
Georgia,Crisp,-,-
Georgia,Dade,-,-
Georgia,Dawson,-,-
Georgia,Decatur,-,-
Georgia,DeKalb,-,-
Georgia,Dodge,-,-
Georgia,Dooly,-,-
Georgia,Dougherty,-,-
Georgia,Douglas,-,-
Georgia,Early,-,-
Georgia,Echols,-,-
Georgia,Effingham,-,-
Georgia,Elbert,-,-
Georgia,Emanuel,-,-
Georgia,Evans,-,-
Georgia,Fannin,-,-
Georgia,Fayette,-,-
Georgia,Floyd,-,-
Georgia,Forsyth,-,-
Georgia,Franklin,-,-
Georgia,Fulton,-,-
Georgia,Gilmer,-,-
Georgia,Glascock,-,-
Georgia,Glynn,-,-
Georgia,Gordon,-,-
Georgia,Grady,-,-
Georgia,Greene,-,-
Georgia,Gwinnett,-,-
Georgia,Habersham,-,-
Georgia,Hall,-,-
Georgia,Hancock,-,-
Georgia,Haralson,-,-
Georgia,Harris,-,-
Georgia,Hart,1,(D)
Georgia,Heard,-,-
Georgia,Henry,-,-
Georgia,Houston,-,-
Georgia,Irwin,-,-
Georgia,Jackson,-,-
Georgia,Jasper,-,-
Georgia,JeffDavis,-,-
Georgia,Jefferson,-,-
Georgia,Jenkins,-,-
Georgia,Johnson,-,-
Georgia,Jones,-,-
Georgia,Lamar,-,-
Georgia,Lanier,-,-
Georgia,Laurens,-,-
Georgia,Lee,-,-
Georgia,Liberty,-,-
Georgia,Lincoln,-,-
Georgia,Long,-,-
Georgia,Lowndes,-,-
Georgia,Lumpkin,-,-
Georgia,McDuffie,-,-
Georgia,McIntosh,-,-
Georgia,Macon,-,-
Georgia,Madison,-,-
Georgia,Marion,-,-
Georgia,Meriwether,-,-
Georgia,Miller,-,-
Georgia,Mitchell,-,-
Georgia,Monroe,-,-
Georgia,Montgomery,-,-
Georgia,Morgan,-,-
Georgia,Murray,-,-
Georgia,Muscogee,-,-
Georgia,Newton,-,-
Georgia,Oconee,-,-
Georgia,Oglethorpe,2,(D)
Georgia,Paulding,-,-
Georgia,Peach,-,-
Georgia,Pickens,-,-
Georgia,Pierce,-,-
Georgia,Pike,-,-
Georgia,Polk,-,-
Georgia,Pulaski,-,-
Georgia,Putnam,-,-
Georgia,Quitman,-,-
Georgia,Rabun,-,-
Georgia,Randolph,-,-
Georgia,Richmond,-,-
Georgia,Rockdale,-,-
Georgia,Schley,-,-
Georgia,Screven,-,-
Georgia,Seminole,-,-
Georgia,Spalding,-,-
Georgia,Stephens,-,-
Georgia,Stewart,-,-
Georgia,Sumter,-,-
Georgia,Talbot,-,-
Georgia,Taliaferro,-,-
Georgia,Tattnall,1,(D)
Georgia,Taylor,-,-
Georgia,Telfair,-,-
Georgia,Terrell,-,-
Georgia,Thomas,-,-
Georgia,Tift,-,-
Georgia,Toombs,-,-
Georgia,Towns,-,-
Georgia,Treutlen,-,-
Georgia,Troup,-,-
Georgia,Turner,-,-
Georgia,Twiggs,-,-
Georgia,Union,-,-
Georgia,Upson,-,-
Georgia,Walker,-,-
Georgia,Walton,-,-
Georgia,Ware,-,-
Georgia,Warren,-,-
Georgia,Washington,-,-
Georgia,Wayne,-,-
Georgia,Webster,-,-
Georgia,Wheeler,-,-
Georgia,White,-,-
Georgia,Whitfield,-,-
Georgia,Wilcox,-,-
Georgia,Wilkes,-,-
Georgia,Wilkinson,-,-
Georgia,Worth,-,-
Idaho,Idaho,3,"12,994"
Idaho,Ada,1,(D)
Idaho,Adams,-,-
Idaho,Bannock,-,-
Idaho,BearLake,-,-
Idaho,Benewah,-,-
Idaho,Bingham,-,-
Idaho,Blaine,-,-
Idaho,Boise,-,-
Idaho,Bonner,-,-
Idaho,Bonneville,-,-
Idaho,Boundary,-,-
Idaho,Butte,-,-
Idaho,Camas,-,-
Idaho,Canyon,-,-
Idaho,Caribou,-,-
Idaho,Cassia,1,(D)
Idaho,Clark,-,-
Idaho,Clearwater,-,-
Idaho,Custer,-,-
Idaho,Elmore,-,-
Idaho,Franklin,-,-
Idaho,Fremont,-,-
Idaho,Gem,-,-
Idaho,Gooding,-,-
Idaho,Idaho,-,-
Idaho,Jefferson,-,-
Idaho,Jerome,-,-
Idaho,Kootenai,-,-
Idaho,Latah,1,(D)
Idaho,Lemhi,-,-
Idaho,Lewis,-,-
Idaho,Lincoln,-,-
Idaho,Madison,-,-
Idaho,Minidoka,-,-
Idaho,NezPerce,-,-
Idaho,Oneida,-,-
Idaho,Owyhee,-,-
Idaho,Payette,-,-
Idaho,Power,-,-
Idaho,Shoshone,-,-
Idaho,Teton,-,-
Idaho,TwinFalls,-,-
Idaho,Valley,-,-
Idaho,Washington,-,-
Illinois,Illinois,600,"5,131,195"
Illinois,Adams,26,"180,728"
Illinois,Alexander,-,-
Illinois,Bond,-,-
Illinois,Boone,3,"25,516"
Illinois,Brown,2,(D)
Illinois,Bureau,10,"69,553"
Illinois,Calhoun,2,(D)
Illinois,Carroll,10,"70,709"
Illinois,Cass,5,"70,551"
Illinois,Champaign,5,"11,350"
Illinois,Christian,7,"60,806"
Illinois,Clark,10,"79,492"
Illinois,Clay,8,"97,597"
Illinois,Clinton,10,"52,555"
Illinois,Coles,7,(D)
Illinois,Cook,-,-
Illinois,Crawford,1,(D)
Illinois,Cumberland,7,"88,553"
Illinois,DeKalb,30,"291,115"
Illinois,DeWitt,-,-
Illinois,Douglas,-,-
Illinois,DuPage,-,-
Illinois,Edgar,1,(D)
Illinois,Edwards,4,(D)
Illinois,Effingham,19,"145,466"
Illinois,Fayette,3,"22,856"
Illinois,Ford,6,"50,100"
Illinois,Franklin,5,"20,785"
Illinois,Fulton,6,"69,737"
Illinois,Gallatin,-,-
Illinois,Greene,4,(D)
Illinois,Grundy,-,-
Illinois,Hamilton,-,-
Illinois,Hancock,17,"181,834"
Illinois,Hardin,-,-
Illinois,Henderson,7,"26,980"
Illinois,Henry,14,"62,880"
Illinois,Iroquois,10,"95,430"
Illinois,Jackson,-,-
Illinois,Jasper,18,"156,392"
Illinois,Jefferson,3,"13,204"
Illinois,Jersey,-,-
Illinois,JoDaviess,1,(D)
Illinois,Johnson,-,-
Illinois,Kane,3,(D)
Illinois,Kankakee,1,(D)
Illinois,Kendall,-,-
Illinois,Knox,17,"101,974"
Illinois,Lake,-,-
Illinois,LaSalle,1,(D)
Illinois,Lawrence,11,"63,000"
Illinois,Lee,7,"26,672"
Illinois,Livingston,26,"190,940"
Illinois,Logan,12,"69,600"
Illinois,McDonough,9,"88,756"
Illinois,McHenry,4,"13,312"
Illinois,McLean,11,"139,450"
Illinois,Macon,1,(D)
Illinois,Macoupin,9,"91,700"
Illinois,Madison,1,(D)
Illinois,Marion,-,-
Illinois,Marshall,-,-
Illinois,Mason,1,(D)
Illinois,Massac,-,-
Illinois,Menard,1,(D)
Illinois,Mercer,20,"323,606"
Illinois,Monroe,2,(D)
Illinois,Montgomery,15,"161,484"
Illinois,Morgan,4,"21,418"
Illinois,Moultrie,1,(D)
Illinois,Ogle,18,"105,094"
Illinois,Peoria,3,"11,400"
Illinois,Perry,-,-
Illinois,Piatt,-,-
Illinois,Pike,16,"282,654"
Illinois,Pope,-,-
Illinois,Pulaski,-,-
Illinois,Putnam,2,(D)
Illinois,Randolph,1,(D)
Illinois,Richland,8,"42,150"
Illinois,RockIsland,5,"35,776"
Illinois,St.Clair,1,(D)
Illinois,Saline,10,(D)
Illinois,Sangamon,4,"32,600"
Illinois,Schuyler,4,"52,596"
Illinois,Scott,2,(D)
Illinois,Shelby,9,"34,539"
Illinois,Stark,3,"16,500"
Illinois,Stephenson,12,"113,492"
Illinois,Tazewell,10,"50,008"
Illinois,Union,-,-
Illinois,Vermilion,5,"9,000"
Illinois,Wabash,-,-
Illinois,Warren,10,"47,590"
Illinois,Washington,12,"133,398"
Illinois,Wayne,8,"89,140"
Illinois,White,1,(D)
Illinois,Whiteside,18,"82,798"
Illinois,Will,3,"14,090"
Illinois,Williamson,-,-
Illinois,Winnebago,1,(D)
Illinois,Woodford,16,"181,971"
Indiana,Indiana,618,"4,284,060"
Indiana,Adams,25,"161,316"
Indiana,Allen,7,"39,000"
Indiana,Bartholomew,7,"56,600"
Indiana,Benton,-,-
Indiana,Blackford,5,(D)
Indiana,Boone,3,"18,000"
Indiana,Brown,-,-
Indiana,Carroll,35,"266,075"
Indiana,Cass,12,"45,942"
Indiana,Clark,-,-
Indiana,Clay,-,-
Indiana,Clinton,17,"102,792"
Indiana,Crawford,4,"16,200"
Indiana,Daviess,9,"26,550"
Indiana,Dearborn,-,-
Indiana,Decatur,22,"172,323"
Indiana,DeKalb,-,-
Indiana,Delaware,3,"12,000"
Indiana,Dubois,9,"31,220"
Indiana,Elkhart,22,"59,908"
Indiana,Fayette,-,-
Indiana,Floyd,-,-
Indiana,Fountain,2,(D)
Indiana,Franklin,6,"13,160"
Indiana,Fulton,7,"30,580"
Indiana,Gibson,6,"28,400"
Indiana,Grant,6,"25,400"
Indiana,Greene,3,(D)
Indiana,Hamilton,-,-
Indiana,Hancock,12,"93,100"
Indiana,Harrison,-,-
Indiana,Hendricks,4,"21,690"
Indiana,Henry,4,"26,000"
Indiana,Howard,3,(D)
Indiana,Huntington,8,"68,045"
Indiana,Jackson,9,"43,480"
Indiana,Jasper,17,"172,693"
Indiana,Jay,44,"246,000"
Indiana,Jefferson,-,-
Indiana,Jennings,2,(D)
Indiana,Johnson,-,-
Indiana,Knox,7,"40,110"
Indiana,Kosciusko,17,"115,367"
Indiana,LaGrange,19,"38,330"
Indiana,Lake,-,-
Indiana,LaPorte,4,"6,100"
Indiana,Lawrence,-,-
Indiana,Madison,-,-
Indiana,Marion,-,-
Indiana,Marshall,4,"6,400"
Indiana,Martin,6,(D)
Indiana,Miami,23,"225,813"
Indiana,Monroe,-,-
Indiana,Montgomery,2,(D)
Indiana,Morgan,2,(D)
Indiana,Newton,5,"55,655"
Indiana,Noble,10,"44,166"
Indiana,Ohio,-,-
Indiana,Orange,1,(D)
Indiana,Owen,-,-
Indiana,Parke,-,-
Indiana,Perry,3,"15,976"
Indiana,Pike,3,"6,800"
Indiana,Porter,-,-
Indiana,Posey,3,(D)
Indiana,Pulaski,7,"93,700"
Indiana,Putnam,6,"77,026"
Indiana,Randolph,26,"159,860"
Indiana,Ripley,7,"20,700"
Indiana,Rush,14,"71,832"
Indiana,St.Joseph,4,"34,295"
Indiana,Scott,1,(D)
Indiana,Shelby,2,(D)
Indiana,Spencer,4,"11,410"
Indiana,Starke,2,(D)
Indiana,Steuben,2,(D)
Indiana,Sullivan,-,-
Indiana,Switzerland,-,-
Indiana,Tippecanoe,7,"57,888"
Indiana,Tipton,9,"67,700"
Indiana,Union,2,(D)
Indiana,Vanderburgh,-,-
Indiana,Vermillion,1,(D)
Indiana,Vigo,-,-
Indiana,Wabash,24,"171,567"
Indiana,Warren,1,(D)
Indiana,Warrick,1,(D)
Indiana,Washington,3,"13,000"
Indiana,Wayne,3,"19,023"
Indiana,Wells,24,"254,756"
Indiana,White,27,"290,488"
Indiana,Whitley,19,"105,824"
Iowa,Iowa,"3,415","23,455,852"
Iowa,Adair,8,"50,134"
Iowa,Adams,10,"48,753"
Iowa,Allamakee,18,"123,900"
Iowa,Appanoose,-,-
Iowa,Audubon,35,"227,555"
Iowa,Benton,15,"114,773"
Iowa,BlackHawk,46,"341,940"
Iowa,Boone,17,"128,110"
Iowa,Bremer,43,"226,500"
Iowa,Buchanan,55,"334,194"
Iowa,BuenaVista,75,"547,853"
Iowa,Butler,39,"315,305"
Iowa,Calhoun,44,"336,906"
Iowa,Carroll,74,"678,810"
Iowa,Cass,7,"100,336"
Iowa,Cedar,40,"263,047"
Iowa,CerroGordo,18,"107,528"
Iowa,Cherokee,47,"244,212"
Iowa,Chickasaw,33,"326,993"
Iowa,Clarke,3,"96,152"
Iowa,Clay,33,"190,143"
Iowa,Clayton,35,"318,439"
Iowa,Clinton,29,"117,960"
Iowa,Crawford,48,"460,626"
Iowa,Dallas,5,"35,460"
Iowa,Davis,8,"109,797"
Iowa,Decatur,6,"63,213"
Iowa,Delaware,106,"457,206"
Iowa,DesMoines,13,"40,845"
Iowa,Dickinson,13,"54,548"
Iowa,Dubuque,31,"91,713"
Iowa,Emmet,21,"183,186"
Iowa,Fayette,29,"311,826"
Iowa,Floyd,30,"217,582"
Iowa,Franklin,66,"563,275"
Iowa,Fremont,1,(D)
Iowa,Greene,36,"240,552"
Iowa,Grundy,34,"215,748"
Iowa,Guthrie,27,"131,678"
Iowa,Hamilton,60,"676,560"
Iowa,Hancock,53,"358,592"
Iowa,Hardin,72,"856,750"
Iowa,Harrison,5,"22,690"
Iowa,Henry,29,"71,684"
Iowa,Howard,34,"531,434"
Iowa,Humboldt,21,"112,238"
Iowa,Ida,5,(D)
Iowa,Iowa,20,"114,244"
Iowa,Jackson,17,"60,731"
Iowa,Jasper,36,"166,157"
Iowa,Jefferson,14,"56,525"
Iowa,Johnson,38,"155,814"
Iowa,Jones,19,"64,230"
Iowa,Keokuk,35,"166,012"
Iowa,Kossuth,97,"537,666"
Iowa,Lee,16,"61,796"
Iowa,Linn,13,"155,370"
Iowa,Louisa,36,"328,940"
Iowa,Lucas,3,"39,834"
Iowa,Lyon,207,"959,384"
Iowa,Madison,8,"54,774"
Iowa,Mahaska,56,"331,363"
Iowa,Marion,6,"23,000"
Iowa,Marshall,25,"144,886"
Iowa,Mills,-,-
Iowa,Mitchell,34,"230,172"
Iowa,Monona,3,(D)
Iowa,Monroe,1,(D)
Iowa,Montgomery,5,"26,039"
Iowa,Muscatine,24,"67,985"
Iowa,O'Brien,140,"466,363"
Iowa,Osceola,81,"469,791"
Iowa,Page,4,(D)
Iowa,PaloAlto,67,"790,658"
Iowa,Plymouth,153,"908,929"
Iowa,Pocahontas,22,"291,015"
Iowa,Polk,1,(D)
Iowa,Pottawattamie,19,"88,202"
Iowa,Poweshiek,12,"83,014"
Iowa,Ringgold,7,"93,658"
Iowa,Sac,45,"337,676"
Iowa,Scott,10,"273,080"
Iowa,Shelby,23,"196,748"
Iowa,Sioux,286,"1,428,669"
Iowa,Story,21,"102,793"
Iowa,Tama,31,"147,459"
Iowa,Taylor,5,"54,057"
Iowa,Union,6,"91,539"
Iowa,VanBuren,14,"115,582"
Iowa,Wapello,12,"65,200"
Iowa,Warren,1,(D)
Iowa,Washington,142,"1,476,521"
Iowa,Wayne,2,(D)
Iowa,Webster,32,"160,138"
Iowa,Winnebago,19,"193,677"
Iowa,Winneshiek,32,"150,108"
Iowa,Woodbury,6,"36,313"
Iowa,Worth,11,"39,392"
Iowa,Wright,21,"428,948"
Kansas,Kansas,117,"1,875,938"
Kansas,Allen,-,-
Kansas,Anderson,-,-
Kansas,Atchison,-,-
Kansas,Barber,-,-
Kansas,Barton,3,"10,596"
Kansas,Bourbon,-,-
Kansas,Brown,4,"10,398"
Kansas,Butler,4,"16,800"
Kansas,Chase,-,-
Kansas,Chautauqua,-,-
Kansas,Cherokee,-,-
Kansas,Cheyenne,-,-
Kansas,Clark,-,-
Kansas,Clay,7,"55,090"
Kansas,Cloud,-,-
Kansas,Coffey,-,-
Kansas,Comanche,-,-
Kansas,Cowley,-,-
Kansas,Crawford,-,-
Kansas,Decatur,-,-
Kansas,Dickinson,-,-
Kansas,Doniphan,-,-
Kansas,Douglas,-,-
Kansas,Edwards,-,-
Kansas,Elk,-,-
Kansas,Ellis,-,-
Kansas,Ellsworth,-,-
Kansas,Finney,-,-
Kansas,Ford,-,-
Kansas,Franklin,3,"11,300"
Kansas,Geary,4,(D)
Kansas,Gove,-,-
Kansas,Graham,-,-
Kansas,Grant,2,(D)
Kansas,Gray,1,(D)
Kansas,Greeley,1,(D)
Kansas,Greenwood,-,-
Kansas,Hamilton,-,-
Kansas,Harper,-,-
Kansas,Harvey,6,"14,900"
Kansas,Haskell,-,-
Kansas,Hodgeman,-,-
Kansas,Jackson,2,(D)
Kansas,Jefferson,-,-
Kansas,Jewell,-,-
Kansas,Johnson,-,-
Kansas,Kearny,1,(D)
Kansas,Kingman,-,-
Kansas,Kiowa,-,-
Kansas,Labette,-,-
Kansas,Lane,-,-
Kansas,Leavenworth,-,-
Kansas,Lincoln,-,-
Kansas,Linn,-,-
Kansas,Logan,-,-
Kansas,Lyon,-,-
Kansas,McPherson,12,"36,307"
Kansas,Marion,14,"32,700"
Kansas,Marshall,3,"6,900"
Kansas,Meade,-,-
