"state","county.x","pop_summed","area_summed","cattled_farms_summed","cattle_count_summed","broiler_farms_summed","broiler_count_summed","layer_farms_summed","layer_count_summed","hog_farms_summed","hog_count_summed","sheep_farms_summed","sheep_count_summed","Population..2020.census.","Area..mi.2.","cattle.farms.x","cattle.count.x","hog.farm.x","hog.count.x","sheep.farm.x","sheep.count.x","broiler.farm.x","broiler.count.x","layer.farm.x","layer.count.x","X","county.y","cattle.farms.y","cattle.count.y","hog.farm.y","hog.count.y","layer.farm.y","layer.count.y","broiler.farm.y","broiler.count.y","sheep.farm.y","sheep.count.y","surrounding_population_density","population_density","animal_density","surrounding_animal_density"
"alabama","cullman",489988,4619.65,3718,185570,614,292770943,762,2602481,154,1388,239,14050,87866,734.84,867,45273,37,491,41,1071,175,87345796,149,1566017,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,106.06604396437,119.571607424746,61.6093299221599,40.169709826502
"alabama","dale",312030,4513.07,1652,146815,333,273315088,309,311539,70,463,63,1467,49326,561.15,141,12154,6,40,15,448,68,59102166,41,205153,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,69.1391890664226,87.9016305800588,21.6590929341531,32.5310708675026
"alabama","dallas",191026,5566.93,1419,154176,34,13760819,252,8629,57,829,61,1127,38462,978.69,220,31558,1,-47,5,91,0,0,17,855,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,34.3144246469778,39.2994717428399,32.2451440190459,27.6949773034689
"alabama","dekalb",459076,4443.49,3373,187050,544,326503793,766,2510900,159,3005,191,5360,71608,777.09,972,55742,33,1464,33,888,189,108347266,192,1182305,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,103.314286743078,92.1489145401434,71.7317170469315,42.0952899635197
"alabama","elmore",491980,4666.36,1265,96036,30,7081241,304,8222,63,535,68,1167,87977,618.48,230,8666,14,127,19,251,0,0,58,1661,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,105.431214051209,142.247121976458,14.0117707929117,20.5804952896905
"alabama","escambia",1059036,8057.15,1778,101870,65,26764452,607,451970,146,1299,107,2181,36757,945.08,158,8844,11,36,9,321,0,0,42,1310,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,131.440521772587,38.8930037668769,9.35793795234266,12.6434285075988
"alabama","etowah",564305,4314.17,3491,183366,631,342598391,813,2096598,179,2349,213,4939,103436,534.99,385,18593,31,208,26,572,75,32172090,106,172558,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,130.802680469244,193.34193162489,34.7539206340305,42.5031929664339
"alabama","fayette",371135,4969.15,1075,53678,157,82137454,330,121104,61,449,44,907,16321,627.66,128,5359,13,100,4,42,11,6080066,22,1081,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,74.6878238732983,26.0029315234363,8.53806200809355,10.8022498817705
"alabama","franklin",218007,4228.39,1994,91378,247,116787590,323,432109,71,553,95,2644,32113,633.82,415,23291,20,205,31,404,67,34785164,67,143135,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,51.5579215729864,50.6658041715313,36.7470259695182,21.6105893732603
"alabama","geneva",416499,5880.81,2239,161974,234,204150335,614,676434,125,946,122,2415,26659,574.41,321,29150,13,90,15,218,35,43077171,63,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,70.8234069796508,46.4111000853049,50.7477237513274,27.5428044776145
"alabama","greene",300342,5374.98,1183,107094,81,28494516,209,109765,46,3870,42,877,7730,647.11,144,8444,6,6,2,-47,3,18,11,485,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,55.8777893127044,11.9454188623263,13.0487861414597,19.9245392540996
"alabama","hale",299678,4931.92,1020,89110,43,8558475,213,6980,45,340,35,597,14785,643.94,228,25067,17,57,4,201,9,2016092,31,524,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,60.7629483041087,22.9602136845048,38.9275398329037,18.0680140797093
"alabama","henry",212599,3293.6,912,89538,143,107079317,182,311539,41,290,32,772,17146,561.75,156,12223,1,-47,2,-47,11,12282800,29,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,64.5491255768764,30.5224744103249,21.7587894971073,27.185450570804
"alabama","houston",267653,3942.13,1324,125370,132,120377965,305,210010,68,393,62,1333,107202,579.82,225,20281,18,81,10,324,10,4040078,70,1489,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,67.8955285594336,184.888413645614,34.9780966506847,31.8026041759151
"alabama","jackson",697814,4562.39,3182,166231,442,232419851,698,1801706,120,2904,198,5086,52579,1077.87,600,34444,16,695,28,765,65,27193468,101,140896,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,152.949221789457,48.7804651766911,31.9556161689258,36.4350702153915
"alabama","jefferson",1362653,5908.41,1543,71912,226,102923622,588,392096,123,1056,100,2279,674721,1111.28,148,4051,29,293,10,121,7,1200069,84,2203,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,230.629390986746,607.156612194946,3.64534590742207,12.1711255650843
"alabama","lamar",171816,4122.21,1013,57635,126,67145916,227,112444,51,178,36,773,13972,604.85,121,4809,6,65,8,292,2,-47,29,702,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,41.6805548480063,23.0999421344135,7.95073158634372,13.9815778429532
"alabama","lauderdale",423852,5474.94,3966,222420,146,58828087,876,1360556,188,2966,216,5841,93564,667.7,525,21765,32,273,45,1173,10,5457500,141,86046,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,77.416738813576,140.128800359443,32.5969746892317,40.625102740852
"alabama","lawrence",554374,5071.92,3853,189816,447,204457825,791,2130759,192,2089,269,14613,33073,690.68,573,26753,14,75,28,848,96,39946260,82,182321,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,109.302591523526,47.8846933456883,38.7342908438061,37.4248805186202
"alabama","lee",570629,3850.62,878,79447,32,6810388,289,7497,50,310,40,1217,174241,607.54,147,7832,9,-47,6,545,8,146,70,1972,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,148.191460076559,286.797577114264,12.8913322579583,20.6322618175774
"alabama","limestone",807446,4480.25,4008,238664,216,96585257,965,470874,200,2246,266,14392,103570,559.94,443,24248,31,514,45,885,21,10637727,104,48195,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,180.223425032085,184.966246383541,43.3046397828339,53.2702416159812
"alabama","lowndes",379377,5347.46,1470,169716,158,116264809,181,217987,45,531,41,946,10311,715.91,236,36087,4,116,7,303,21,13760459,20,323,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,70.9452712128749,14.4026483775894,50.4071740861281,31.7376848073665
"alabama","macon",621555,4599.62,1181,96115,43,10022105,289,7675,60,322,57,1325,19532,608.89,134,8334,7,34,8,144,3,264,33,1004,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,135.131815236911,32.078043653205,13.6872013007276,20.8962914327705
"alabama","madison",843428,4707.58,3770,222301,315,160785334,866,585496,183,2669,262,14276,388153,801.59,315,13134,32,296,31,939,17,623,125,3479,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,179.163816653142,484.228845170224,16.3849349418032,47.2219271897663
"alabama","marengo",147508,7910.63,1598,154741,24,2053610,218,7576,60,4253,62,1431,19323,976.88,234,27945,3,-47,8,68,9,-47,36,1966,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,18.6468081556083,19.7803210220293,28.6063794938989,19.5611474686593
