County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Chicot,"44,391","48,652","45,390",26,9.6,-6.7,74,Arkansas
Clark,"41,644","42,816","42,339",45,2.8,-1.1,56,Arkansas
Clay,"39,407","44,611","43,534",39,13.2,-2.4,65,Arkansas
Cleburne,"45,100","47,640","48,466",12,5.6,1.7,32,Arkansas
Cleveland,"42,243","47,838","51,226",5,13.2,7.1,3,Arkansas
Columbia,"41,393","44,008","45,298",27,6.3,2.9,20,Arkansas
Conway,"41,962","45,958","47,384",18,9.5,3.1,19,Arkansas
Craighead,"42,319","46,746","46,373",23,10.5,-0.8,53,Arkansas
Crawford,"38,448","41,293","41,735",48,7.4,1.1,40,Arkansas
Crittenden,"41,433","45,226","44,072",35,9.2,-2.6,66,Arkansas
Cross,"40,176","42,803","41,096",54,6.5,-4,70,Arkansas
Dallas,"43,720","46,351","47,046",20,6,1.5,35,Arkansas
Desha,"44,694","49,934","48,207",15,11.7,-3.5,68,Arkansas
Drew,"42,835","46,141","46,516",22,7.7,0.8,43,Arkansas
Faulkner,"44,624","47,383","48,161",16,6.2,1.6,33,Arkansas
Franklin,"35,810","40,598","42,047",47,13.4,3.6,15,Arkansas
Fulton,"32,534","34,739","34,007",73,6.8,-2.1,63,Arkansas
Garland,"45,130","47,762","48,507",11,5.8,1.6,34,Arkansas
Grant,"43,066","45,341","45,847",25,5.3,1.1,39,Arkansas
Greene,"38,993","41,554","41,559",52,6.6,0,48,Arkansas
Hempstead,"35,619","40,520","42,949",42,13.8,6,5,Arkansas
Hot Spring,"34,928","37,551","37,659",66,7.5,0.3,47,Arkansas
Howard,"36,069","43,359","47,291",19,20.2,9.1,1,Arkansas
Independence,"38,571","43,048","44,216",34,11.6,2.7,21,Arkansas
Izard,"32,854","34,443","34,660",72,4.8,0.6,46,Arkansas
Jackson,"42,060","44,141","45,916",24,4.9,4,14,Arkansas
Jefferson,"38,360","41,301","40,786",57,7.7,-1.2,58,Arkansas
Johnson,"31,868","35,090","35,505",71,10.1,1.2,36,Arkansas
Lafayette,"40,569","47,346","49,687",8,16.7,4.9,7,Arkansas
Lawrence,"39,109","40,422","42,271",46,3.4,4.6,10,Arkansas
Lee,"33,059","39,589","35,818",69,19.8,-9.5,75,Arkansas
Lincoln,"29,553","33,245","33,042",75,12.5,-0.6,52,Arkansas
Little River,"38,061","40,902","41,691",51,7.5,1.9,30,Arkansas
Logan,"35,622","39,072","40,841",56,9.7,4.5,11,Arkansas
Lonoke,"45,170","47,982","48,433",13,6.2,0.9,42,Arkansas
Madison,"35,138","43,025","44,395",31,22.4,3.2,18,Arkansas
Marion,"33,807","37,115","36,718",68,9.8,-1.1,55,Arkansas
Miller,"37,613","40,433","39,978",60,7.5,-1.1,57,Arkansas
Mississippi,"37,870","45,431","43,455",41,20,-4.3,71,Arkansas
Monroe,"39,376","42,735","40,123",59,8.5,-6.1,73,Arkansas
Montgomery,"34,862","37,495","37,923",64,7.6,1.1,38,Arkansas
Nevada,"35,352","39,114","40,501",58,10.6,3.5,16,Arkansas
