County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Coweta,"53,350","57,721","59,967",13,8.2,3.9,21,Georgia
Crawford,"37,331","40,216","40,218",113,7.7,0,79,Georgia
Crisp,"41,968","45,832","44,582",63,9.2,-2.7,130,Georgia
Dade,"37,930","40,794","41,920",94,7.6,2.8,31,Georgia
Dawson,"51,885","57,898","61,067",9,11.6,5.5,12,Georgia
Decatur,"37,647","42,311","41,224",102,12.4,-2.6,128,Georgia
DeKalb,"55,996","62,588","62,632",8,11.8,0.1,77,Georgia
Dodge,"34,673","37,790","36,210",147,9,-4.2,152,Georgia
Dooly,"40,575","44,318","44,793",58,9.2,1.1,54,Georgia
Dougherty,"40,963","46,317","44,681",61,13.1,-3.5,145,Georgia
Douglas,"40,654","43,855","43,652",73,7.9,-0.5,89,Georgia
Early,"40,613","43,753","42,119",90,7.7,-3.7,147,Georgia
Echols,"33,421","34,042","32,683",155,1.9,-4,151,Georgia
Effingham,"44,578","48,134","48,223",35,8,0.2,74,Georgia
Elbert,"38,764","41,816","42,537",83,7.9,1.7,46,Georgia
Emanuel,"37,954","39,913","39,039",125,5.2,-2.2,118,Georgia
Evans,"36,944","40,397","40,564",111,9.3,0.4,67,Georgia
Fannin,"42,947","48,239","49,594",32,12.3,2.8,28,Georgia
Fayette,"68,059","72,745","75,294",5,6.9,3.5,22,Georgia
Floyd,"40,944","44,304","44,126",67,8.2,-0.4,86,Georgia
Forsyth,"69,446","74,888","79,382",3,7.8,6,8,Georgia
Franklin,"35,942","40,700","44,078",68,13.2,8.3,3,Georgia
Fulton,"92,999","101,688","100,614",1,9.3,-1.1,98,Georgia
Gilmer,"38,423","43,216","45,291",53,12.5,4.8,14,Georgia
Glascock,"38,951","40,287","39,345",124,3.4,-2.3,122,Georgia
Glynn,"52,711","58,513","60,033",12,11,2.6,37,Georgia
Gordon,"38,340","42,973","44,793",58,12.1,4.2,16,Georgia
Grady,"35,506","39,012","38,487",129,9.9,-1.3,103,Georgia
Greene,"64,295","74,348","75,927",4,15.6,2.1,42,Georgia
Gwinnett,"45,934","50,121","50,866",28,9.1,1.5,50,Georgia
Habersham,"36,900","39,411","40,155",115,6.8,1.9,44,Georgia
Hall,"50,009","55,175","57,416",17,10.3,4.1,19,Georgia
Hancock,"32,954","34,989","35,521",149,6.2,1.5,48,Georgia
Haralson,"40,931","44,439","45,136",55,8.6,1.6,47,Georgia
Harris,"52,912","57,086","58,675",15,7.9,2.8,29,Georgia
Hart,"41,239","44,058","45,862",51,6.8,4.1,18,Georgia
Heard,"36,454","40,731","41,968",92,11.7,3,25,Georgia
Henry,"42,920","46,657","46,921",45,8.7,0.6,64,Georgia
Houston,"45,424","49,215","48,082",37,8.3,-2.3,120,Georgia
Irwin,"37,537","42,407","42,351",85,13,-0.1,81,Georgia
Jackson,"47,450","51,967","54,880",19,9.5,5.6,11,Georgia
Jasper,"43,856","46,114","47,429",41,5.1,2.9,27,Georgia
Jeff Davis,"35,062","37,473","36,710",141,6.9,-2,116,Georgia
Jefferson,"38,486","42,752","41,525",100,11.1,-2.9,136,Georgia
Jenkins,"35,372","37,132","36,807",140,5,-0.9,97,Georgia
Johnson,"31,063","34,010","31,721",156,9.5,-6.7,159,Georgia
Jones,"40,731","44,451","43,191",78,9.1,-2.8,134,Georgia
Lamar,"38,930","43,371","43,734",72,11.4,0.8,59,Georgia
Lanier,"33,315","35,444","33,834",152,6.4,-4.5,154,Georgia
Laurens,"40,071","43,821","42,791",82,9.4,-2.4,123,Georgia
Lee,"46,904","51,314","52,032",25,9.4,1.4,52,Georgia
Liberty,"37,957","40,692","39,543",121,7.2,-2.8,133,Georgia
Lincoln,"45,093","47,353","46,470",47,5,-1.9,113,Georgia
Long,"36,305","40,090","39,887",118,10.4,-0.5,92,Georgia
Lowndes,"41,402","44,477","43,907",70,7.4,-1.3,102,Georgia
Lumpkin,"41,703","47,783","47,019",43,14.6,-1.6,108,Georgia
McDuffie,"40,851","43,733","42,460",84,7.1,-2.9,137,Georgia
McIntosh,"44,612","47,733","47,623",39,7,-0.2,84,Georgia
Macon,"36,073","39,600","43,120",79,9.8,8.9,2,Georgia
Madison,"39,779","43,702","46,486",46,9.9,6.4,7,Georgia
Marion,"35,876","38,321","38,071",133,6.8,-0.7,96,Georgia
Meriwether,"40,598","44,167","43,980",69,8.8,-0.4,88,Georgia
Miller,"47,693","52,357","51,093",27,9.8,-2.4,124,Georgia
Mitchell,"41,465","43,784","44,143",66,5.6,0.8,60,Georgia
Monroe,"48,798","53,965","54,195",21,10.6,0.4,66,Georgia
Montgomery,"35,668","38,210","37,167",136,7.1,-2.7,131,Georgia
Morgan,"53,448","58,058","60,452",11,8.6,4.1,17,Georgia
Murray,"33,208","37,075","37,457",135,11.6,1,55,Georgia
Muscogee,"44,073","48,080","48,049",38,9.1,-0.1,80,Georgia
Newton,"38,876","41,815","41,639",98,7.6,-0.4,87,Georgia
Oconee,"71,183","76,252","79,902",2,7.1,4.8,15,Georgia
Oglethorpe,"40,391","44,545","47,054",42,10.3,5.6,10,Georgia
Paulding,"43,299","46,884","48,143",36,8.3,2.7,34,Georgia
Peach,"41,448","44,734","43,892",71,7.9,-1.9,114,Georgia
Pickens,"52,304","58,572","60,616",10,12,3.5,23,Georgia
Pierce,"40,089","41,747","41,663",97,4.1,-0.2,83,Georgia
Pike,"45,095","49,130","50,712",29,8.9,3.2,24,Georgia
Polk,"36,460","39,300","39,642",120,7.8,0.9,57,Georgia
Pulaski,"37,981","42,590","40,998",106,12.1,-3.7,148,Georgia
Putnam,"49,113","53,678","54,458",20,9.3,1.5,51,Georgia
Quitman,"39,618","37,213","36,631",143,-6.1,-1.6,105,Georgia
Rabun,"45,591","52,091","52,393",24,14.3,0.6,63,Georgia
Randolph,"40,796","43,575","41,988",91,6.8,-3.6,146,Georgia
Richmond,"41,139","43,706","42,289",88,6.2,-3.2,140,Georgia
Rockdale,"38,989","41,988","41,230",101,7.7,-1.8,112,Georgia
Schley,"40,815","43,260","43,455",77,6,0.5,65,Georgia
Screven,"37,679","40,782","39,929",117,8.2,-2.1,117,Georgia
Seminole,"45,167","47,608","46,167",50,5.4,-3,139,Georgia
Spalding,"38,420","42,951","41,959",93,11.8,-2.3,121,Georgia
Stephens,"39,309","43,679","44,891",57,11.1,2.8,30,Georgia
Stewart,"30,574","33,130","35,666",148,8.4,7.7,4,Georgia
Sumter,"40,077","43,580","42,832",81,8.7,-1.7,110,Georgia
Talbot,"43,391","46,201","46,351",48,6.5,0.3,69,Georgia
Taliaferro,"38,125","40,684","43,649",74,6.7,7.3,5,Georgia
Tattnall,"31,015","34,632","36,710",141,11.7,6,9,Georgia
Taylor,"35,174","39,674","38,099",132,12.8,-4,150,Georgia
Telfair,"27,953","30,222","28,393",158,8.1,-6.1,157,Georgia
Terrell,"42,725","46,819","45,283",54,9.6,-3.3,141,Georgia
Thomas,"47,490","53,241","53,576",22,12.1,0.6,62,Georgia
Tift,"41,453","45,381","44,567",64,9.5,-1.8,111,Georgia
Toombs,"39,384","42,723","41,673",96,8.5,-2.5,125,Georgia
Towns,"44,133","47,696","47,620",40,8.1,-0.2,82,Georgia
Treutlen,"35,317","37,701","36,373",145,6.8,-3.5,144,Georgia
Troup,"41,256","44,969","44,692",60,9,-0.6,93,Georgia
Turner,"34,183","38,251","36,913",138,11.9,-3.5,143,Georgia
Twiggs,"41,146","44,766","44,484",65,8.8,-0.6,95,Georgia
Union,"41,837","45,300","44,591",62,8.3,-1.6,106,Georgia
Upson,"37,311","41,489","41,014",105,11.2,-1.1,100,Georgia
Walker,"37,808","41,559","42,301",87,9.9,1.8,45,Georgia
Walton,"46,685","50,561","51,707",26,8.3,2.3,40,Georgia
Ware,"36,443","39,081","38,420",130,7.2,-1.7,109,Georgia
Warren,"40,325","41,327","40,184",114,2.5,-2.8,132,Georgia
Washington,"39,941","40,814","40,316",112,2.2,-1.2,101,Georgia
Wayne,"35,791","38,894","37,869",134,8.7,-2.6,129,Georgia
Webster,"39,904","40,385","39,491",123,1.2,-2.2,119,Georgia
Wheeler,"22,265","23,257","23,545",159,4.5,1.2,53,Georgia
White,"43,654","47,944","49,331",33,9.8,2.9,26,Georgia
Whitfield,"42,967","44,941","45,299",52,4.6,0.8,61,Georgia
Wilcox,"28,791","32,436","33,327",153,12.7,2.7,32,Georgia
Wilkes,"42,687","47,613","52,916",23,11.5,11.1,1,Georgia
Wilkinson,"39,924","42,739","43,102",80,7.1,0.8,58,Georgia
Worth,"38,257","41,792","40,968",108,9.2,-2,115,Georgia
Ada,"58,150","64,113","67,555",3,10.3,5.4,14,Idaho
Adams,"39,623","42,499","43,730",39,7.3,2.9,30,Idaho
Bannock,"42,524","46,362","47,457",26,9,2.4,34,Idaho
Bear Lake,"44,640","46,141","48,506",21,3.4,5.1,17,Idaho
Benewah,"42,995","44,159","43,568",40,2.7,-1.3,43,Idaho
Bingham,"41,045","45,218","46,908",28,10.2,3.7,28,Idaho
Blaine,"124,919","146,618","165,640",1,17.4,13,5,Idaho
Boise,"50,622","51,106","53,627",14,1,4.9,20,Idaho
Bonner,"48,711","51,235","51,980",16,5.2,1.5,39,Idaho
Bonneville,"59,981","61,768","62,984",5,3,2,37,Idaho
Boundary,"41,837","46,100","45,392",34,10.2,-1.5,44,Idaho
Butte,"49,511","49,912","53,691",13,0.8,7.6,10,Idaho
Camas,"52,455","54,503","61,839",7,3.9,13.5,4,Idaho
Canyon,"39,271","43,676","45,412",33,11.2,4,26,Idaho
Caribou,"47,704","45,940","48,447",22,-3.7,5.5,13,Idaho
Cassia,"48,779","50,609","54,637",10,3.8,8,8,Idaho
Clark,"46,771","41,290","47,270",27,-11.7,14.5,2,Idaho
Clearwater,"39,603","42,599","43,539",41,7.6,2.2,36,Idaho
Custer,"46,091","48,762","51,352",18,5.8,5.3,15,Idaho
Elmore,"38,790","42,575","43,302",43,9.8,1.7,38,Idaho
Franklin,"40,092","44,036","44,275",38,9.8,0.5,41,Idaho
Fremont,"41,537","44,513","46,611",31,7.2,4.7,23,Idaho
Gem,"42,200","45,380","46,896",29,7.5,3.3,29,Idaho
Gooding,"62,867","63,627","72,945",2,1.2,14.6,1,Idaho
Idaho,"39,131","44,130","44,315",37,12.8,0.4,42,Idaho
Jefferson,"40,302","43,633","45,376",35,8.3,4,25,Idaho
Jerome,"41,526","43,198","45,665",32,4,5.7,12,Idaho
Kootenai,"51,986","57,652","60,474",9,10.9,4.9,21,Idaho
Latah,"47,116","51,378","52,627",15,9,2.4,33,Idaho
Lemhi,"47,476","51,920","54,050",12,9.4,4.1,24,Idaho
Lewis,"57,498","58,994","60,480",8,2.6,2.5,32,Idaho
Lincoln,"43,404","45,382","51,693",17,4.6,13.9,3,Idaho
Madison,"24,804","27,212","27,836",44,9.7,2.3,35,Idaho
Minidoka,"44,768","45,297","47,934",24,1.2,5.8,11,Idaho
Nez Perce,"47,492","51,923","54,421",11,9.3,4.8,22,Idaho
Oneida,"41,784","45,526","46,699",30,9,2.6,31,Idaho
Owyhee,"41,576","44,735","48,250",23,7.6,7.9,9,Idaho
Payette,"43,140","46,224","48,642",20,7.1,5.2,16,Idaho
Power,"45,803","42,234","47,617",25,-7.8,12.7,6,Idaho
Shoshone,"41,787","44,972","45,311",36,7.6,0.8,40,Idaho
Teton,"49,636","57,376","62,194",6,15.6,8.4,7,Idaho
Twin Falls,"43,529","47,217","49,019",19,8.5,3.8,27,Idaho
Valley,"54,698","61,529","64,666",4,12.5,5.1,19,Idaho
Washington,"39,867","41,301","43,417",42,3.6,5.1,18,Idaho
Adams,"51,390","56,077","56,218",37,9.1,0.3,55,Illinois
Alexander,"45,957","49,757","48,741",81,8.3,-2,99,Illinois
Bond,"41,032","45,397","45,366",94,10.6,-0.1,63,Illinois
Boone,"50,554","55,444","55,513",43,9.7,0.1,60,Illinois
Brown,"41,939","44,437","46,761",88,6,5.2,2,Illinois
Bureau,"46,708","52,339","51,583",66,12.1,-1.4,92,Illinois
Calhoun,"50,511","55,169","55,438",44,9.2,0.5,47,Illinois
Carroll,"45,317","51,292","51,788",65,13.2,1,35,Illinois
Cass,"44,159","49,296","50,030",72,11.6,1.5,30,Illinois
Champaign,"50,158","54,619","54,633",49,8.9,0,62,Illinois
Christian,"43,724","48,907","49,053",79,11.9,0.3,53,Illinois
Clark,"45,044","51,184","51,125",67,13.6,-0.1,64,Illinois
Clay,"43,275","50,033","49,215",77,15.6,-1.6,93,Illinois
Clinton,"53,243","57,816","58,868",20,8.6,1.8,23,Illinois
Coles,"48,069","52,751","52,162",61,9.7,-1.1,80,Illinois
Cook,"66,952","72,979","72,847",5,9,-0.2,65,Illinois
Crawford,"48,592","51,798","52,188",59,6.6,0.8,40,Illinois
Cumberland,"78,838","87,319","89,427",2,10.8,2.4,14,Illinois
DeKalb,"47,111","50,917","51,005",70,8.1,0.2,59,Illinois
De Witt,"51,458","57,609","57,270",28,12,-0.6,73,Illinois
Douglas,"54,884","61,267","62,992",14,11.6,2.8,8,Illinois
DuPage,"78,904","86,772","88,588",3,10,2.1,18,Illinois
Edgar,"48,011","55,368","56,293",36,15.3,1.7,27,Illinois
Edwards,"45,159","50,416","49,808",75,11.6,-1.2,82,Illinois
Effingham,"55,121","61,059","62,321",16,10.8,2.1,20,Illinois
Fayette,"39,967","45,045","44,553",97,12.7,-1.1,75,Illinois
Ford,"56,320","62,397","64,367",10,10.8,3.2,7,Illinois
Franklin,"42,160","45,905","45,261",95,8.9,-1.4,91,Illinois
Fulton,"43,302","47,340","47,964",85,9.3,1.3,31,Illinois
Gallatin,"45,270","54,033","54,579",50,19.4,1,34,Illinois
Greene,"44,325","51,940","53,359",53,17.2,2.7,9,Illinois
Grundy,"59,249","59,926","60,964",17,1.1,1.7,25,Illinois
Hamilton,"47,104","54,007","53,404",52,14.7,-1.1,79,Illinois
Hancock,"49,333","56,747","56,127",39,15,-1.1,76,Illinois
Hardin,"41,878","45,035","46,014",92,7.5,2.2,17,Illinois
Henderson,"47,084","54,943","57,521",24,16.7,4.7,4,Illinois
Henry,"50,741","55,952","56,099",40,10.3,0.3,54,Illinois
Iroquois,"49,496","55,986","57,391",25,13.1,2.5,12,Illinois
Jackson,"43,011","47,156","46,270",91,9.6,-1.9,97,Illinois
Jasper,"48,923","56,703","56,506",35,15.9,-0.3,69,Illinois
Jefferson,"44,063","47,955","47,153",86,8.8,-1.7,94,Illinois
Jersey,"47,920","52,386","52,423",57,9.3,0.1,61,Illinois
Jo Daviess,"51,002","57,672","58,113",23,13.1,0.8,39,Illinois
Johnson,"37,234","39,800","39,362",101,6.9,-1.1,77,Illinois
Kane,"58,284","63,094","63,889",11,8.3,1.3,32,Illinois
Kankakee,"47,418","51,692","51,048",68,9,-1.2,86,Illinois
Kendall,"53,667","57,385","58,683",21,6.9,2.3,16,Illinois
Knox,"43,169","47,519","46,991",87,10.1,-1.1,78,Illinois
Lake,"81,516","91,061","94,022",1,11.7,3.3,6,Illinois
LaSalle,"48,757","52,830","53,325",54,8.4,0.9,36,Illinois
Lawrence,"35,269","40,123","39,371",100,13.8,-1.9,96,Illinois
Lee,"46,791","51,795","52,103",62,10.7,0.6,46,Illinois
Livingston,"50,312","56,919","56,782",32,13.1,-0.2,66,Illinois
Logan,"42,550","47,957","48,267",82,12.7,0.6,41,Illinois
McDonough,"44,340","48,639","48,091",84,9.7,-1.1,81,Illinois
McHenry,"59,795","64,203","65,807",9,7.4,2.5,13,Illinois
McLean,"54,939","59,244","58,178",22,7.8,-1.8,95,Illinois
Macon,"51,474","56,437","56,774",33,9.6,0.6,45,Illinois
Macoupin,"46,127","51,201","51,047",69,11,-0.3,68,Illinois
Madison,"51,122","55,649","55,991",41,8.9,0.6,44,Illinois
Marion,"46,546","50,225","50,032",71,7.9,-0.4,71,Illinois
Marshall,"49,230","55,065","56,882",30,11.9,3.3,5,Illinois
Mason,"47,446","54,857","56,174",38,15.6,2.4,15,Illinois
Massac,"41,652","45,574","44,953",96,9.4,-1.4,90,Illinois
Menard,"50,117","57,108","57,347",27,13.9,0.4,48,Illinois
Mercer,"52,030","58,711","59,186",19,12.8,0.8,38,Illinois
Monroe,"61,159","68,594","68,762",6,12.2,0.2,57,Illinois
Montgomery,"39,597","43,988","43,454",98,11.1,-1.2,83,Illinois
Morgan,"45,219","50,162","50,027",73,10.9,-0.3,67,Illinois
Moultrie,"69,066","67,555","75,225",4,-2.2,11.4,1,Illinois
Ogle,"49,259","54,105","54,751",47,9.8,1.2,33,Illinois
Peoria,"52,939","57,149","57,356",26,8,0.4,50,Illinois
Perry,"40,642","43,763","42,923",99,7.7,-1.9,98,Illinois
Piatt,"58,006","65,807","67,037",7,13.4,1.9,22,Illinois
Pike,"48,877","58,154","55,127",46,19,-5.2,102,Illinois
Pope,"35,657","37,572","36,510",102,5.4,-2.8,101,Illinois
Pulaski,"42,112","46,988","45,893",93,11.6,-2.3,100,Illinois
Putnam,"59,520","66,833","66,956",8,12.3,0.2,58,Illinois
Randolph,"43,565","47,044","46,444",90,8,-1.3,87,Illinois
Richland,"45,472","51,006","52,031",63,12.2,2,21,Illinois
Rock Island,"46,322","49,395","48,787",80,6.6,-1.2,85,Illinois
St. Clair,"50,312","54,909","54,666",48,9.1,-0.4,72,Illinois
Saline,"42,052","46,565","46,756",89,10.7,0.4,49,Illinois
Sangamon,"52,360","57,872","57,167",29,10.5,-1.2,84,Illinois
Schuyler,"48,420","52,500","53,407",51,8.4,1.7,26,Illinois
Scott,"47,095","55,167","55,644",42,17.1,0.9,37,Illinois
Shelby,"46,049","52,290","52,615",56,13.6,0.6,43,Illinois
Stark,"50,407","61,073","62,672",15,21.2,2.6,11,Illinois
Stephenson,"47,302","52,049","52,846",55,10,1.5,28,Illinois
Tazewell,"51,825","55,357","56,509",34,6.8,2.1,19,Illinois
Union,"45,547","48,789","48,155",83,7.1,-1.3,89,Illinois
Vermilion,"44,276","48,950","49,105",78,10.6,0.3,52,Illinois
Wabash,"46,440","52,007","52,172",60,12,0.3,51,Illinois
Warren,"45,807","52,753","55,383",45,15.2,5,3,Illinois
Washington,"53,927","60,802","60,586",18,12.7,-0.4,70,Illinois
Wayne,"42,968","48,355","49,228",76,12.5,1.8,24,Illinois
White,"49,292","56,490","56,853",31,14.6,0.6,42,Illinois
Whiteside,"47,896","52,211","52,341",58,9,0.2,56,Illinois
Will,"57,742","62,708","63,653",12,8.6,1.5,29,Illinois
Williamson,"48,729","52,165","51,821",64,7.1,-0.7,74,Illinois
Winnebago,"46,497","50,575","49,920",74,8.8,-1.3,88,Illinois
Woodford,"56,414","61,565","63,221",13,9.1,2.7,10,Illinois
Adams,"42,562","47,419","48,653",69,11.4,2.6,24,Indiana
Allen,"50,107","55,795","57,245",19,11.4,2.6,25,Indiana
Bartholomew,"55,840","59,915","61,920",7,7.3,3.3,17,Indiana
Benton,"47,119","53,845","53,842",36,14.3,0,81,Indiana
Blackford,"39,449","43,819","44,486",84,11.1,1.5,48,Indiana
Boone,"77,646","85,736","91,419",2,10.4,6.6,3,Indiana
Brown,"52,478","57,432","59,204",12,9.4,3.1,19,Indiana
Carroll,"46,931","50,582","50,551",56,7.8,-0.1,83,Indiana
Cass,"42,919","47,416","47,473",73,10.5,0.1,78,Indiana
Clark,"48,762","52,120","53,321",39,6.9,2.3,31,Indiana
Clay,"40,988","44,962","44,425",85,9.7,-1.2,92,Indiana
Clinton,"41,550","45,620","46,041",79,9.8,0.9,63,Indiana
Crawford,"38,166","41,583","41,391",91,9,-0.5,89,Indiana
Daviess,"48,419","53,843","58,225",15,11.2,8.1,2,Indiana
Dearborn,"51,945","56,644","57,660",17,9,1.8,42,Indiana
Decatur,"47,496","52,172","52,101",46,9.8,-0.1,85,Indiana
DeKalb,"48,371","54,013","54,957",28,11.7,1.7,43,Indiana
Delaware,"41,680","45,087","45,465",83,8.2,0.8,66,Indiana
Dubois,"57,951","62,884","65,721",5,8.5,4.5,7,Indiana
Elkhart,"49,336","56,465","58,570",14,14.4,3.7,15,Indiana
Fayette,"43,942","47,360","47,568",72,7.8,0.4,73,Indiana
Floyd,"56,726","59,555","61,081",9,5,2.6,26,Indiana
Fountain,"45,108","49,947","50,737",55,10.7,1.6,47,Indiana
Franklin,"51,070","55,807","55,675",23,9.3,-0.2,87,Indiana
Fulton,"45,726","49,709","50,077",60,8.7,0.7,69,Indiana
Gibson,"50,457","53,942","54,959",27,6.9,1.9,39,Indiana
Grant,"42,422","46,964","48,108",70,10.7,2.4,30,Indiana
Greene,"45,884","50,263","50,930",54,9.5,1.3,53,Indiana
Hamilton,"80,436","89,933","95,757",1,11.8,6.5,4,Indiana
Hancock,"55,304","59,088","61,585",8,6.8,4.2,9,Indiana
Harrison,"48,601","52,801","54,202",33,8.6,2.7,22,Indiana
Hendricks,"53,266","57,743","60,249",10,8.4,4.3,8,Indiana
Henry,"42,307","46,087","46,443",78,8.9,0.8,68,Indiana
Howard,"43,810","47,388","47,388",75,8.2,0,80,Indiana
Huntington,"45,097","50,249","51,337",53,11.4,2.2,35,Indiana
Jackson,"44,029","48,308","49,379",66,9.7,2.2,32,Indiana
Jasper,"50,858","56,179","58,136",16,10.5,3.5,16,Indiana
Jay,"42,177","48,826","53,916",35,15.8,10.4,1,Indiana
Jefferson,"46,904","50,327","51,433",51,7.3,2.2,34,Indiana
Jennings,"44,581","48,764","49,178",67,9.4,0.8,65,Indiana
Johnson,"52,360","57,081","59,315",11,9,3.9,10,Indiana
Knox,"49,319","53,820","54,099",34,9.1,0.5,71,Indiana
Kosciusko,"52,076","56,544","57,607",18,8.6,1.9,40,Indiana
Lagrange,"44,600","52,797","55,816",22,18.4,5.7,5,Indiana
Lake,"47,778","52,471","53,127",40,9.8,1.3,55,Indiana
LaPorte,"44,985","49,144","49,992",61,9.2,1.7,44,Indiana
Lawrence,"46,721","51,546","52,325",45,10.3,1.5,49,Indiana
Madison,"42,202","46,081","46,466",77,9.2,0.8,67,Indiana
Marion,"59,825","66,315","66,500",4,10.8,0.3,75,Indiana
Marshall,"46,433","51,486","52,624",43,10.9,2.2,33,Indiana
Martin,"45,029","49,831","52,671",41,10.7,5.7,6,Indiana
Miami,"37,172","40,779","40,333",92,9.7,-1.1,91,Indiana
Monroe,"48,509","52,696","54,400",31,8.6,3.2,18,Indiana
Montgomery,"44,562","49,291","49,943",62,10.6,1.3,54,Indiana
Morgan,"47,587","52,275","53,657",37,9.9,2.6,23,Indiana
Newton,"45,732","51,110","51,694",49,11.8,1.1,58,Indiana
Noble,"43,960","48,780","50,189",58,11,2.9,20,Indiana
Ohio,"49,337","53,339","54,446",30,8.1,2.1,37,Indiana
Orange,"40,546","44,026","45,724",82,8.6,3.9,11,Indiana
Owen,"44,409","48,734","49,407",65,9.7,1.4,51,Indiana
Parke,"43,531","48,238","50,080",59,10.8,3.8,12,Indiana
Perry,"39,659","43,645","44,250",86,10.1,1.4,50,Indiana
Pike,"44,606","47,191","47,625",71,5.8,0.9,64,Indiana
Porter,"56,244","61,224","63,557",6,8.9,3.8,14,Indiana
Posey,"55,526","58,380","59,170",13,5.1,1.4,52,Indiana
Pulaski,"49,065","54,017","55,004",26,10.1,1.8,41,Indiana
Putnam,"42,481","46,501","47,295",76,9.5,1.7,45,Indiana
Randolph,"43,306","50,836","51,450",50,17.4,1.2,56,Indiana
Ripley,"46,017","50,708","50,456",57,10.2,-0.5,90,Indiana
Rush,"48,831","54,845","55,087",25,12.3,0.4,72,Indiana
St. Joseph,"50,076","55,326","56,688",20,10.5,2.5,29,Indiana
Scott,"41,138","44,254","44,229",87,7.6,-0.1,82,Indiana
Shelby,"47,164","51,575","52,401",44,9.4,1.6,46,Indiana
Spencer,"49,103","53,725","54,253",32,9.4,1,60,Indiana
Starke,"38,021","41,917","41,967",89,10.2,0.1,79,Indiana
Steuben,"48,261","53,605","54,649",29,11.1,1.9,38,Indiana
Sullivan,"39,032","43,276","43,134",88,10.9,-0.3,88,Indiana
Switzerland,"38,785","41,531","41,606",90,7.1,0.2,76,Indiana
Tippecanoe,"42,526","46,246","47,398",74,8.7,2.5,27,Indiana
Tipton,"48,954","51,621","51,703",48,5.4,0.2,77,Indiana
Union,"43,886","48,718","48,664",68,11,-0.1,84,Indiana
Vanderburgh,"50,628","55,389","56,585",21,9.4,2.2,36,Indiana
Vermillion,"42,418","45,860","45,773",81,8.1,-0.2,86,Indiana
Vigo,"42,200","45,793","45,975",80,8.5,0.4,74,Indiana
Wabash,"46,262","51,720","52,006",47,11.8,0.6,70,Indiana
Warren,"48,475","52,936","53,430",38,9.2,0.9,62,Indiana
Warrick,"61,644","66,353","68,264",3,7.6,2.9,21,Indiana
Washington,"42,808","47,813","49,637",63,11.7,3.8,13,Indiana
Wayne,"45,287","49,075","49,570",64,8.4,1,59,Indiana
Wells,"45,983","50,851","51,343",52,10.6,1,61,Indiana
White,"47,244","52,011","52,633",42,10.1,1.2,57,Indiana
Whitley,"49,743","53,858","55,193",24,8.3,2.5,28,Indiana
Adair,"53,544","64,783","67,668",17,21,4.5,41,Iowa
Adams,"52,390","64,345","67,657",18,22.8,5.1,39,Iowa
Allamakee,"48,637","53,536","55,015",66,10.1,2.8,65,Iowa
Appanoose,"42,785","47,001","47,779",97,9.9,1.7,87,Iowa
Audubon,"51,290","64,561","69,105",13,25.9,7,22,Iowa
Benton,"55,725","63,400","69,430",12,13.8,9.5,16,Iowa
Black Hawk,"49,252","52,431","53,471",77,6.5,2,77,Iowa
Boone,"49,639","53,520","54,062",74,7.8,1,96,Iowa
Bremer,"52,852","57,634","59,542",54,9,3.3,56,Iowa
Buchanan,"50,957","57,628","60,057",52,13.1,4.2,44,Iowa
Buena Vista,"44,294","49,269","54,341",71,11.2,10.3,14,Iowa
Butler,"48,423","57,331","60,085",51,18.4,4.8,40,Iowa
Calhoun,"49,148","59,532","64,280",32,21.1,8,19,Iowa
Carroll,"54,473","60,497","64,755",30,11.1,7,21,Iowa
Cass,"49,689","56,698","59,063",56,14.1,4.2,46,Iowa
Cedar,"55,521","62,671","65,324",25,12.9,4.2,43,Iowa
Cerro Gordo,"52,333","61,338","67,777",16,17.2,10.5,13,Iowa
Cherokee,"54,212","67,753","83,241",3,25,22.9,2,Iowa
Chickasaw,"56,429","73,064","89,185",2,29.5,22.1,3,Iowa
Clarke,"42,831","45,760","48,316",95,6.8,5.6,30,Iowa
Clay,"53,601","59,372","61,974",40,10.8,4.4,42,Iowa
Clayton,"54,208","60,701","64,520",31,12,6.3,26,Iowa
Clinton,"47,396","51,474","52,629",82,8.6,2.2,74,Iowa
Crawford,"44,377","52,996","54,711",70,19.4,3.2,58,Iowa
Dallas,"70,783","76,813","79,938",4,8.5,4.1,50,Iowa
Davis,"40,207","45,895","51,702",84,14.1,12.7,9,Iowa
Decatur,"39,004","43,444","44,532",99,11.4,2.5,69,Iowa
Delaware,"51,953","57,849","60,949",43,11.3,5.4,36,Iowa
Des Moines,"53,868","58,622","60,617",46,8.8,3.4,55,Iowa
Dickinson,"62,621","71,287","74,159",8,13.8,4,51,Iowa
Dubuque,"52,804","58,027","60,090",50,9.9,3.6,53,Iowa
Emmet,"44,636","51,398","54,119",73,15.1,5.3,37,Iowa
Fayette,"45,853","50,665","52,666",81,10.5,3.9,52,Iowa
Floyd,"48,695","56,206","59,242",55,15.4,5.4,34,Iowa
Franklin,"48,951","61,597","65,001",28,25.8,5.5,31,Iowa
Fremont,"53,107","61,317","62,532",38,15.5,2,78,Iowa
Greene,"50,930","59,990","61,809",41,17.8,3,62,Iowa
Grundy,"54,358","62,645","65,201",26,15.2,4.1,49,Iowa
Guthrie,"57,727","65,315","68,017",15,13.1,4.1,47,Iowa
Hamilton,"49,508","58,746","63,592",33,18.7,8.2,17,Iowa
