FULLFP,STATE,COUNTYNAME,Cooling Degree Days_APR,Heating Degree Days_APR,pcp_APR,tavg_APR,tmax_APR,tmin_APR,Cooling Degree Days_AUG,Heating Degree Days_AUG,pcp_AUG,tavg_AUG,tmax_AUG,tmin_AUG,Cooling Degree Days_DEC,Heating Degree Days_DEC,pcp_DEC,tavg_DEC,tmax_DEC,tmin_DEC,Cooling Degree Days_FEB,Heating Degree Days_FEB,pcp_FEB,tavg_FEB,tmax_FEB,tmin_FEB,Cooling Degree Days_JAN,Heating Degree Days_JAN,pcp_JAN,tavg_JAN,tmax_JAN,tmin_JAN,Cooling Degree Days_JUL,Heating Degree Days_JUL,pcp_JUL,tavg_JUL,tmax_JUL,tmin_JUL,Cooling Degree Days_JUN,Heating Degree Days_JUN,pcp_JUN,tavg_JUN,tmax_JUN,tmin_JUN,Cooling Degree Days_MAR,Heating Degree Days_MAR,pcp_MAR,tavg_MAR,tmax_MAR,tmin_MAR,Cooling Degree Days_MAY,Heating Degree Days_MAY,pcp_MAY,tavg_MAY,tmax_MAY,tmin_MAY,Cooling Degree Days_NOV,Heating Degree Days_NOV,pcp_NOV,tavg_NOV,tmax_NOV,tmin_NOV,Cooling Degree Days_OCT,Heating Degree Days_OCT,pcp_OCT,tavg_OCT,tmax_OCT,tmin_OCT,Cooling Degree Days_SEP,Heating Degree Days_SEP,pcp_SEP,tavg_SEP,tmax_SEP,tmin_SEP
13181,georgia,lincoln,44.09090909,111.4545455,4.067272727,62.75454545,75.45454545,50.05454545,453.7272727,0,4.64,79.63636364,89.59090909,69.66363636,6.272727273,496.5454545,5.937272727,49.19090909,59.60909091,38.75454545,7.818181818,419.0909091,4.217272727,50.31818182,61.31818182,39.29090909,8,606.4545455,4.145454545,45.69090909,56.36363636,35.01818182,490.8181818,0,4.312727273,80.83636364,90.92727273,70.75454545,379.5454545,0,4.158181818,77.65454545,88.31818182,67,27.72727273,321.7272727,3.487272727,55.52727273,67.69090909,43.31818182,194.4545455,24.72727273,3.496363636,70.45454545,81.98181818,58.93636364,7,349.3636364,3.47,53.58181818,65.50909091,41.63636364,93.27272727,88.72727273,2.600909091,65.12727273,76.73636364,53.53636364,296.7272727,0,2.933636364,74.80909091,85.49090909,64.11818182
13183,georgia,long,100.5454545,38.27272727,4.614545455,67.06363636,79.73636364,54.40909091,534.0909091,0,5.624545455,82.21818182,92.03636364,72.42727273,32.27272727,330.7272727,4.363636364,55.36363636,66.61818182,44.11818182,34.45454545,277.3636364,3.755454545,56.32727273,68.36363636,44.28181818,29.90909091,447.9090909,3.359090909,51.52727273,63.03636364,39.98181818,556.7272727,0,6.038181818,82.96363636,93.16363636,72.74545455,461,0,5.864545455,80.36363636,90.93636364,69.77272727,62.45454545,191.6363636,3.25,60.83636364,73.33636364,48.31818182,279.3636364,1.181818182,3.107272727,73.97272727,86.03636364,61.85454545,35.45454545,212.2727273,2.773636364,59.11818182,71.03636364,47.15454545,171.8181818,32.45454545,3.057272727,69.49090909,80.75454545,58.20909091,387,0,4.333636364,77.9,87.76363636,68.02727273
13185,georgia,lowndes,96.27272727,49,4.769090909,66.58181818,79.10909091,54.03636364,497.3636364,0,6.348181818,81.04545455,90.87272727,71.18181818,33,327,4.624545455,55.52727273,66.38181818,44.64545455,40.81818182,268.9090909,4.395454545,56.85454545,68.71818182,44.97272727,31,446.9090909,4.103636364,51.58181818,62.76363636,40.4,496.8181818,0,6.208181818,81.03636364,91.20909091,70.82727273,429.2727273,0,6.430909091,79.28181818,89.82727273,68.77272727,63.36363636,189.1818182,4.044545455,60.94545455,73.4,48.5,250.0909091,1.090909091,2.974545455,73.01818182,85.42727273,60.58181818,34.63636364,221.8181818,2.796363636,58.75454545,70.81818182,46.7,163.8181818,34.18181818,2.395454545,69.19090909,81.01818182,57.34545455,362.2727273,0,3.908181818,77.08181818,87.30909091,66.82727273
13187,georgia,lumpkin,8.454545455,245.2727273,6.530909091,57.14545455,69.82727273,44.45454545,281.8181818,0,6.213636364,74.1,84.18181818,63.96363636,1.909090909,633.5454545,7.577272727,44.62727273,54.86363636,34.39090909,1.272727273,577.1818182,7.122727273,44.42727273,55.22727273,33.60909091,2.545454545,772.8181818,6.280909091,40.16363636,50.39090909,29.91818182,316.4545455,0,5.892727273,75.20909091,85.56363636,64.84545455,215.8181818,6.727272727,5.76,71.93636364,82.80909091,61.05454545,8.181818182,464.3636364,5.52,50.27272727,61.92727273,38.61818182,87.63636364,82.72727273,5.3,65.14545455,76.74545455,53.57272727,0.545454545,483.7272727,4.72,48.91818182,60.81818182,37.00909091,30.63636364,181.3636364,5.145454545,60.14545455,71.94545455,48.33636364,158.1818182,21.45454545,3.452727273,69.51818182,80.41818182,58.64545455
13189,georgia,mcduffie,48.45454545,103.1818182,4.073636364,63.18181818,76.16363636,50.20909091,451.2727273,0,4.700909091,79.55454545,89.69090909,69.42727273,9.090909091,473.7272727,5.648181818,50.01818182,60.72727273,39.29090909,10.09090909,399.2727273,4.296363636,51.10909091,62.51818182,39.7,11,584.4545455,4.228181818,46.49090909,57.47272727,35.52727273,487.9090909,0,4.527272727,80.73636364,90.9,70.58181818,379.2727273,0,4.276363636,77.65454545,88.47272727,66.8,31.54545455,303.9090909,3.474545455,56.22727273,68.64545455,43.78181818,195.6363636,21.63636364,3.737272727,70.62727273,82.47272727,58.74545455,8.727272727,332.1818182,3.164545455,54.20909091,66.46363636,41.95454545,98.09090909,82.90909091,2.535454545,65.48181818,77.46363636,53.49090909,298.6363636,0,3.234545455,74.89090909,85.73636364,63.99090909
13191,georgia,mcintosh,106.3636364,31.72727273,4.3,67.49090909,78.64545455,56.3,532.9090909,0,6.711818182,82.2,90.97272727,73.37272727,37.63636364,300.5454545,3.796363636,56.50909091,66.76363636,46.25454545,39.54545455,261.1818182,3.162727273,57.09090909,67.94545455,46.2,33,421.4545455,3.076363636,52.47272727,63.1,41.81818182,560.3636364,0,5.955454545,83.08181818,92.4,73.73636364,468.1818182,0,5.260909091,80.61818182,90.36363636,70.85454545,65.36363636,183,2.926363636,61.20909091,72.46363636,49.94545455,292.4545455,0,2.707272727,74.38181818,84.95454545,63.83636364,46.18181818,182.5454545,2.835454545,60.46363636,70.90909091,49.99090909,193.7272727,23.63636364,2.801818182,70.5,80.29090909,60.7,402.6363636,0,5.721818182,78.42727273,86.99090909,69.85454545
13193,georgia,macon,62.81818182,86.45454545,5.137272727,64.20909091,77.19090909,51.23636364,485.8181818,0,5.028181818,80.67272727,90.76363636,70.58181818,15,415.9090909,6.1,52.05454545,63.09090909,41.04545455,18.54545455,358.3636364,4.960909091,52.87272727,64.81818182,40.88181818,18.36363636,538.7272727,4.314545455,48.20909091,59.66363636,36.73636364,499.3636364,0,5.491818182,81.11818182,91.18181818,71.01818182,418.8181818,0,4.341818182,78.94545455,90.06363636,67.83636364,45.90909091,254.1818182,3.559090909,58.27272727,71.12727273,45.44545455,227.5454545,8.636363636,3.226363636,72.03636364,84.27272727,59.78181818,17,294.8181818,3.071818182,55.74545455,68.41818182,43.07272727,116.5454545,60,2.81,66.84545455,79.3,54.30909091,336.0909091,0,3.305454545,76.19090909,87.13636364,65.27272727
13195,georgia,madison,24.90909091,150.3636364,4.651818182,60.8,73.64545455,47.97272727,407.5454545,0,5.375454545,78.15454545,87.95454545,68.33636364,3.090909091,544.8181818,5.544545455,47.54545455,57.58181818,37.48181818,3.272727273,475.0909091,4.799090909,48.17272727,58.93636364,37.40909091,4.272727273,666.8181818,5.117272727,43.61818182,54.05454545,33.17272727,447,0,4.901818182,79.42727273,89.50909091,69.33636364,340.3636364,0,4.998181818,76.35454545,87.10909091,65.56363636,18.27272727,362.8181818,3.804545455,53.88181818,65.88181818,41.88181818,159.2727273,33.81818182,4.033636364,69.03636364,80.50909091,57.54545455,4.545454545,394,3.689090909,52.01818182,63.86363636,40.19090909,64.36363636,108.3636364,3.229090909,63.59090909,75.34545455,51.79090909,258.5454545,2.909090909,2.814545455,73.48181818,83.97272727,62.96363636
13197,georgia,marion,53.81818182,99.45454545,5.598181818,63.49090909,76.43636364,50.53636364,449,0,5.269090909,79.47272727,89.5,69.42727273,13.18181818,430.1818182,6.308181818,51.55454545,62.09090909,41.01818182,16.36363636,374.8181818,5.125454545,52.19090909,64.01818182,40.34545455,16.18181818,557.4545455,4.659090909,47.53636364,58.84545455,36.26363636,462.0909091,0,5.393636364,79.89090909,90,69.8,380,0,4.66,77.67272727,88.51818182,66.80909091,40.72727273,265,3.576363636,57.77272727,70.4,45.12727273,199.2727273,12.72727273,3.551818182,71,83.11818182,58.86363636,13.81818182,313.3636364,3.256363636,55.01818182,67.33636364,42.69090909,102.7272727,74.18181818,3.011818182,65.91818182,78.13636364,53.68181818,315.7272727,0,3.321818182,75.49090909,86.24545455,64.76363636
13199,georgia,meriwether,35.45454545,127.9090909,5.88,61.91818182,75.01818182,48.81818182,428.0909091,0,5.135454545,78.80909091,88.77272727,68.85454545,6.727272727,489.0909091,5.992727273,49.44545455,59.91818182,38.93636364,9.545454545,419.4545455,5.444545455,50.34545455,61.76363636,38.93636364,9.818181818,619.7272727,5.182727273,45.32727273,56.38181818,34.24545455,449.9090909,0,4.710909091,79.51818182,89.53636364,69.46363636,355.9090909,0,4.816363636,76.87272727,87.54545455,66.18181818,27.54545455,309.1818182,4.415454545,55.9,68.43636364,43.39090909,176.1818182,22.63636364,3.798181818,69.94545455,81.9,57.97272727,6.636363636,356.4545455,3.623636364,53.33636364,65.51818182,41.15454545,78.27272727,95.09090909,3.239090909,64.47272727,76.4,52.51818182,277.5454545,2.818181818,3.211818182,74.14545455,84.81818182,63.43636364
